keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
TotalRewardsEarn ,Total Rewards Earn ,মোট পুরষ্কার উপার্জন,कुल पुरस्कार अर्जित करें,ಒಟ್ಟು ಪ್ರತಿಫಲಗಳು ಗಳಿಸುತ್ತವೆ,ସମୁଦାୟ ପୁରସ୍କାର ରୋଜଗାର କରେ |,মুঠ পুৰস্কাৰ উপাৰ্জন,કુલ પુરસ્કારો કમાય છે,एकूण मिळवलेली बक्षिसे,ആകെ റിവാർഡുകൾ നേടുന്നു,ਕੁੱਲ ਇਨਾਮ ਕਮਾਉਂਦੇ ਹਨ,மொத்த வெகுமதிகள் சம்பாதிக்கின்றன,రెఫరల్ SMS విజయవంతంగా పంపబడింది
MyReferrals,My Referrals,আমার রেফারেল,मेरा सिफ़ारिशें,ನನ್ನ ಉಲ್ಲೇಖಗಳು,ମୋର ରେଫରାଲ୍ |,মোৰ ৰেফাৰেলসমূহ,મારા સંદર્ભો,माझे संदर्भ,എന്റെ റഫറലുകൾ,ਮੇਰੇ ਹਵਾਲੇ,எனது பரிந்துரைகள்,మిస్ కాల్ ఇవ్వమని సిఫార్సు చేయమని అభ్యర్థిస్తోంది
IncreaseEarningBy ,Increase Earning By ,দ্বারা উপার্জন বৃদ্ধি,द्वारा कमाई में वृद्धि,ಆದಾಯವನ್ನು ಹೆಚ್ಚಿಸಿ,ଦ୍ୱାରା ରୋଜଗାର,ইয়াৰ দ্বাৰা উপাৰ্জন বৃদ্ধি কৰক,આવકમાં વધારો,कमाई वाढवा,വരുമാനം വർദ്ധിപ്പിക്കുക,ਦੁਆਰਾ ਕਮਾਈ ਵਧਦੀ ਹੈ,மூலம் சம்பாதிப்பதை அதிகரிக்கவும்,మొత్తం రివార్డ్‌లు సంపాదించండి
IncreaseReferralEarningonEachsucessfulinvite,Increase Referral Earning on Each sucessful invite,প্রতিটি সফল আমন্ত্রণে রেফারেল উপার্জন বৃদ্ধি করুন,प्रत्येक sucessful निमंत्रण पर रेफरल कमाई बढ़ाएं,ಪ್ರತಿ ಯಶಸ್ಸಿನ ಆಹ್ವಾನದಲ್ಲಿ ಉಲ್ಲೇಖಿತ ಗಳಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸಿ,ପ୍ରତ୍ୟେକ ସଫଳତା ନିମନ୍ତ୍ରଣ ଉପରେ ରେଫରାଲ୍ ରୋଜଗାର କରନ୍ତୁ |,প্ৰতিটো চুচেচফুল আমন্ত্ৰণত ৰেফাৰেল উপাৰ্জন বৃদ্ধি কৰক,દરેક સફળ આમંત્રણ પર રેફરલ કમાણીમાં વધારો,प्रत्येक यशस्वी आमंत्रणावर रेफरल कमाई वाढवा,ഓരോ വിജയിക്കുന്ന ക്ഷണത്തിലും റഫറൽ സമ്പാദ്യം വർദ്ധിപ്പിക്കുക,ਹਰੇਕ ਕੱਟਣ ਵਾਲੇ ਸੱਦੇ 'ਤੇ ਰੈਫਰਲ ਕਮਾਈ ਵਧਾਓ,ஒவ்வொரு வெற்றிகரமான அழைப்பிலும் பரிந்துரை சம்பாதித்தல் அதிகரிக்கவும்,ప్రతి విజయవంతమైన ఆహ్వానంలో రిఫెరల్ సంపాదనను పెంచండి
Youcanwin,You can win,তুমি জিততে পারো,तुम जीत सकते हो,ನೀವು ಗೆಲ್ಲಬಹುದು,ତୁମେ ଜିତିବ |,আপুনি জিকিব পাৰে,તમે જીતી શકો છો,आपण जिंकू शकता,നിങ്ങൾക്ക് വിജയിക്കാനാകും,ਤੁਸੀਂ ਜਿੱਤ ਸਕਦੇ ਹੋ,நீங்கள் வெல்ல முடியும்,ద్వారా సంపాదన పెంచండి
YouWon,You Won,তুমি জিতেছো,आप जीते,ನೀನು ಗೆದ್ದೆ,ତୁମେ ଜିତିଲ,আপুনি জিকিছে,તમે જીત્યા,तुम्ही जिंकलात,നീ വിജയിച്ചു,ਤੁਸੀ ਜਿੱਤੇ,நீ வென்றாய்,ప్రతి విజయవంతమైన ఆహ్వానంపై రెఫరల్ ఆదాయాన్ని పెంచండి
ByReferring ,By Referring ,উল্লেখ করে,संदर्भ देकर,ಉಲ್ಲೇಖಿಸುವ ಮೂಲಕ,ରେଫରିଂ କରି |,উল্লেখ কৰি,ઉલ્લેખ કરીને,संदर्भ देऊन,പരാമർശിക്കുന്നതിലൂടെ,ਹਵਾਲਾ ਦੇ ਕੇ,குறிப்பிடுவதன் மூலம்,మీరు గెలవగలరు
Completed,Completed,সম্পূর্ণ,पूरा हुआ,ಪೂರ್ಣಗೊಂಡ,ସମାପ୍ତ,সম্পূৰ্ণ হৈছে,પૂર્ણ,पूर्ण,പൂർത്തിയായ,ਪੂਰਾ,நிறைவு,పూర్తయింది
Incompleted,Incompleted,অসম্পূর্ণ,अपूर्ण,ಅಪೂರ್ಣ,ଅସମ୍ପୂର୍ଣ୍ଣ,অসম্পূৰ্ণ,અપૂર્ણ,अपूर्ण,അപൂർണ്ണമായത്,ਅਧੂਰਾ,முழுமையற்ற,అసంపూర్ణంగా ఉంది
Referralstatus ,Referral status ,রেফারেল স্ট্যাটাস,रेफरल स्थिति,ಉಲ್ಲೇಖಿತ ಸ್ಥಿತಿ,ରେଫରାଲ୍ ସ୍ଥିତି |,ৰেফাৰেল স্থিতি,સંદર્ભની દરજ્જો,संदर्भ स्थिती,റഫറൽ നില,ਰੈਫਰਲ ਸਥਿਤੀ,பரிந்துரை நிலை,రెఫరల్ స్థితి
Ordered ,Ordered ,আদেশ,आदेश दिया,ಆದೇಶಿಸಿದ,ଅର୍ଡର,অৰ্ডাৰ দিয়া হৈছে,આદેશ આપ્યો,ऑर्डर केली,ക്രമീകരിച്ചു,ਆਰਡਰ ਕੀਤਾ,உத்தரவிடப்பட்டது,ఆదేశించారు
Firstorder ,First order ,প্রথম আদেশ,पहले के आदेश,ಮೊದಲ ಕ್ರಮ,ପ୍ରଥମ କ୍ରମ,প্ৰথম ক্ৰম,પ્રથમ ક્રમ,पहिलीऑर्डर,ആദ്യ ഓർഡർ,ਪਹਿਲਾ ਆਰਡਰ,முதல் ஆணை,మొదటి ఆర్డర్
Signup ,Signup ,নিবন্ধন করুন,साइन अप करें,ಸೈನ್ ಅಪ್,ସାଇନ୍ ଅପ୍ କରନ୍ତୁ,ছাইনআপ,સાઇનઅપ,साइनअप,സൈൻ അപ്പ് ചെയ്യുക,ਸਾਇਨ ਅਪ,பதிவுபெறுதல்,చేరడం
ProfileCompleted,Profile Completed,প্রোফাইল সম্পূর্ণ,प्रोफ़ाइल पूरा हुआ,ಪ್ರೊಫೈಲ್ ಪೂರ್ಣಗೊಂಡಿದೆ,ପ୍ରୋଫାଇଲ୍ ସମାପ୍ତ ହେଲା |,প্ৰ'ফাইল সম্পূৰ্ণ হৈছে,પ્રોફાઇલ પૂર્ણ,प्रोफाइल पूर्ण झाले,പ്രൊഫൈൽ പൂർത്തിയായി,ਪ੍ਰੋਫਾਈਲ ਪੂਰਾ ਹੋਇਆ,சுயவிவரம் முடிந்தது,ప్రొఫైల్ పూర్తయింది
Reminder,Reminder,অনুস্মারক,अनुस्मारक,ಜ್ಞಾಪಿಸು,ସ୍ମରଣ,স্মাৰক,સ્મૃતિપત્ર,स्मरणपत्र,ഓർമ്മപ്പെടുത്തൽ,ਯਾਦ,நினைவூட்டல்,రిమైండర్
SelectLanguage ,Select Language ,ভাষা নির্বাচন কর,भाषा चुने,ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ,ଭାଷା ଚୟନ କରନ୍ତୁ |,ভাষা নিৰ্বাচন কৰক,ભાષા પસંદ કરો,भाषा निवडा,ഭാഷ തിരഞ്ഞെടുക്കുക,ਭਾਸ਼ਾ ਚੁਣੋ,மொழியை தேர்ந்தெடுங்கள்,భాషను ఎంచుకోండి
SearchAddress,Search Address,অনুসন্ধান ঠিকানা,खोज पता,ಹುಡುಕಾಟ ವಿಳಾಸ,ସନ୍ଧାନ ଠିକଣା,সন্ধান ঠিকনা,શોધ સરનામું,पत्ता शोधा,വിലാസം തിരയുക,ਖੋਜ ਦਾ ਪਤਾ,தேடல் முகவரி,గుర్తు చేయడం
InvitePeopleandearnCashRewards ,Invite People and earn Cash Rewards ,মানুষকে আমন্ত্রণ জানান এবং নগদ পুরষ্কার অর্জন করুন,लोगों को आमंत्रित करें और नकद पुरस्कार अर्जित करें,ಜನರನ್ನು ಆಹ್ವಾನಿಸಿ ಮತ್ತು ನಗದು ಪ್ರತಿಫಲವನ್ನು ಗಳಿಸಿ,ଲୋକଙ୍କୁ ନିମନ୍ତ୍ରଣ କର ଏବଂ ନଗଦ ପୁରସ୍କାର ରୋଜଗାର କର |,লোকসকলক আমন্ত্ৰণ কৰক আৰু নগদ পুৰস্কাৰ অৰ্জন কৰক,લોકોને આમંત્રણ આપો અને રોકડ પુરસ્કાર કમાવો,लोकांना आमंत्रित करा आणि रोख बक्षिसे मिळवा,ആളുകളെ ക്ഷണിച്ച് ക്യാഷ് റിവാർഡുകൾ നേടുക,ਲੋਕਾਂ ਨੂੰ ਸੱਦਾ ਦਿਓ ਅਤੇ ਨਕਦ ਇਨਾਮ ਕਮਾਓ,"மக்களை அழைக்கவும், பண வெகுமதிகளைப் பெறவும்",ప్రజలను ఆహ్వానించండి మరియు నగదు రివార్డులు సంపాదించండి
SMSSendSucessfully ,SMS Send Sucessfully ,এসএমএস সফলভাবে প্রেরণ করে,एसएमएस sucessly भेजें,ಎಸ್‌ಎಂಎಸ್ ಯಶಸ್ವಿಯಾಗಿ ಕಳುಹಿಸುತ್ತದೆ,SMS ସଫଳତାର ସହିତ ପଠାଯାଏ |,এছ.এম.এছ. চুকেচফেলি প্ৰেৰণ কৰক,એસ.એમ.એસ.,एस एम एस यशस्वीपणे पाठविलेला आहे,എസ്എംഎസ് വിജയകരമായി അയയ്ക്കുക,SMS ਤੇਜ਼ੀ ਨਾਲ ਭੇਜਦਾ ਹੈ,எஸ்எம்எஸ் வெற்றிகரமாக அனுப்புகிறது,చిరునామాను శోధించండి
IncreaseEarningoncashinvite,Increase Earning on cash  invite,নগদ আমন্ত্রণে উপার্জন বৃদ্ধি করুন,नकद आमंत्रित पर कमाई में वृद्धि,ನಗದು ಆಹ್ವಾನದಲ್ಲಿ ಗಳಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸಿ,ନଗଦ ନିମନ୍ତ୍ରଣ ଉପରେ ରୋଜଗାର କରିବା ବୃଦ୍ଧି |,নগদ আমন্ত্ৰণৰ ওপৰত উপাৰ্জন বৃদ্ধি কৰক,રોકડ આમંત્રણ પર કમાણી વધારો,रोख आमंत्रणावर कमाई वाढवा,ക്യാഷ് ക്ഷണത്തിൽ വരുമാനം വർദ്ധിപ്പിക്കുക,ਨਕਦ ਸੱਦੇ 'ਤੇ ਕਮਾਈ ਵਧਾਓ,பண அழைப்பில் சம்பாதிப்பது அதிகரிக்கும்,వ్యక్తులను ఆహ్వానించండి మరియు నగదు రివార్డ్‌లను సంపాదించండి
Profile ,Profile ,প্রোফাইল,प्रोफ़ाइल,ಪ್ರಚಾರ,ପ୍ରୋଫାଇଲ୍,প্ৰ'ফাইল,રૂપરેખા,प्रोफाइल,പ്രൊഫൈൽ,ਪਰੋਫਾਈਲ,சுயவிவரம்,SMS విజయవంతంగా పంపబడింది
Subscribed,Subscribed,সাবস্ক্রাইব,सदस्यता लिया,ಚಂದಾದಾರಿಕೆ,ସଦସ୍ୟତା |,সাবস্ক্ৰাইব কৰা হৈছে,નોંધાયેલું,सदस्यता स्विकारणे,സബ്സ്ക്രൈബുചെയ്തു,ਸਬਸਕ੍ਰਾਈਬ,சந்தா,నగదు ఆహ్వానంపై ఆదాయాన్ని పెంచండి
Unsubscribed ,Unsubscribed,সাবস্ক্রাইবড,प्रोफ़ाइल,ಚಾವಟಿಯಿಲ್ಲದ,ସଦସ୍ୟତା ମିଳିତ |,সাবস্ক্ৰাইব নকৰা,અનુચિત,सदस्यता नाकारणे,അൺസബ്സ്ക്രൈബുചെയ്തു,ਗਾਹਕੀ ਰੱਦ,குழுவிலகப்பட்டது,చందాను తొలగించలేదు
,,,सदस्यता ली,,,,,,,,,
ProductorCategory ,Product or Category ,পণ্য বা বিভাগ,सदस्यता वापस ले ली,ಉತ್ಪನ್ನ ಅಥವಾ ವರ್ಗ,ଉତ୍ପାଦ କିମ୍ବା ବର୍ଗ,সামগ্ৰী বা শ্ৰেণী,ઉત્પાદન અથવા વર્ગ,उत्पादन किंवा श्रेणी,ഉൽപ്പന്നം അല്ലെങ്കിൽ വിഭാഗം,ਉਤਪਾਦ ਜਾਂ ਸ਼੍ਰੇਣੀ,தயாரிப்பு அல்லது வகை,సభ్యత్వం తొలగించారు
Refferalmanagement ,Refferal Management ,Reffaral পরিচালনা,रेफ़रल मैनेजमेंट,ಪುನರ್ರಚನೆ ನಿರ್ವಹಣೆ,ରେଫେରାଲ୍ ମ୍ୟାନେଜମେଣ୍ଟ |,ৰেফৰেল মেনেজমেণ্ট,રેફેલ વ્યવસ્થાપન,संदर्भ व्यवस्थापन,പുനർവിൽപ്പന മാനേജുമെന്റ്,ਪਰਫੇਰ ਪ੍ਰਬੰਧਨ,ரெஃபரல் மேலாண்மை,రిఫెరల్ మేనేజ్‌మెంట్
catalogmanagement ,Catalog Management ,ক্যাটালগ পরিচালনা,सूची प्रबंधन,ಕ್ಯಾಟಲಾಗ್ ನಿರ್ವಹಣೆ,କାଟାଲଗ୍ ପରିଚାଳନା,কেটালগ ব্যৱস্থাপনা,સૂચિ વ્યવસ્થાપન,कॅटलॉग व्यवस्थापन,കാറ്റലോഗ് മാനേജുമെന്റ്,ਕੈਟਾਲਾਗ ਮੈਨੇਜਮੈਂਟ,அட்டவணை மேலாண்மை,కేటలాగ్ నిర్వహణ
PaymentManagement,Payment Management,পেমেন্ট ম্যানেজমেন্ট,भुगतान प्रबंधन,ಪಾವತಿ ನಿರ್ವಹಣೆ,ଦେୟ ପରିଚାଳନା,পৰিশোধ ব্যৱস্থাপনা,ચુકવણી સંચાલન,पेमेंट व्यवस्थापन,പേയ്മെന്റ് മാനേജുമെന്റ്,ਭੁਗਤਾਨ ਪ੍ਰਬੰਧਨ,கட்டண மேலாண்மை,చెల్లింపు నిర్వహణ
DelieryManagement ,Delivery Management ,বিতরণ ব্যবস্থাপনা,वितरण प्रबंधन,ವಿತರಣಾ ನಿರ್ವಹಣೆ,ବିତରଣ ପରିଚାଳନା,ডেলিৰী মেনেজমেণ্ট,વિતરણ,वितरण व्यवस्थापन,ഡെലിവറി മാനേജുമെന്റ്,ਡਿਲਿਵਰੀ ਪ੍ਰਬੰਧਨ,விநியோக மேலாண்மை,డెలివరీ నిర్వహణ
OrderManagement ,Order Management ,নির্দেশ ব্যাবস্থাপনা,आदेश का प्रबंधन,ಆದೇಶ ನಿರ್ವಹಣೆ,କ୍ରମ ପରିଚାଳନା,অৰ্ডাৰ ব্যৱস্থাপনা,હુકમનું સંચાલન,ऑर्डर व्यवस्थापन,ഓർഡർ മാനേജുമെന്റ്,ਆਰਡਰ ਪ੍ਰਬੰਧਨ,ஒழுங்கு மேலாண்மை,ఆర్డర్ నిర్వహణ
CustomerService ,Customer Service ,গ্রাহক সেবা,ग्राहक सेवा,ಗ್ರಾಹಕ ಸೇವೆ,ଗ୍ରାହକ ସେବା,গ্ৰাহক সেৱা,ગ્રાહક સેવા,ग्राहक सेवा,കസ്റ്റമർ സർവീസ്,ਗਾਹਕ ਦੀ ਸੇਵਾ,வாடிக்கையாளர் சேவை,వినియోగదారుల సేవ
UserManagement ,User Management ,ইউজার ম্যানেজমেন্ট,उपयोगकर्ता प्रबंधन,ಬಳಕೆದಾರ ನಿರ್ವಹಣೆ,ବ୍ୟବହାରକାରୀ Enterರ್,ব্যৱহাৰকাৰী ব্যৱস্থাপনা,વપરાશકર્તા વ્યવસ્થા,वापरकर्ता व्यवस्थापन,ഉപയോക്തൃ മാനേജുമെന്റ്,ਉਪਭੋਗਤਾ ਪ੍ਰਬੰਧਨ,பயனர் மேலாண்மை,వాడుకరి నిర్వహణ
ExpensesManagement ,Expenses Management ,ব্যয় পরিচালনা,व्यय प्रबंधन,ವೆಚ್ಚಗಳ ನಿರ್ವಹಣೆ,ଖର୍ଚ୍ଚ ପରିଚାଳନା,ব্যয় ব্যৱস্থাপনা,ખર્ચનું સંચાલન,खर्च व्यवस्थापन,ചെലവ് മാനേജുമെന്റ്,ਖਰਚੇ ਪ੍ਰਬੰਧਨ,செலவு மேலாண்மை,ఖర్చుల నిర్వహణ
InventoryManagement ,Inventory Management ,ইনভেন্টরি ম্যানেজমেন্ট,सूची प्रबंधन,ದಾಸ್ತಾನು ನಿರ್ವಹಣೆ,ଇନଭେଣ୍ଟୋରୀ ମ୍ୟାନେଜମେଣ୍ଟ,ইনভেণ্টৰী ব্যৱস্থাপনা,યાદી સંચાલન,वस्तुसुची व्यवस्थापन,ഇൻവെന്ററി മാനേജ്മെന്റ്,ਵਸਤੂ ਪ੍ਰਬੰਧਨ,சரக்கு மேலாண்மை,జాబితా నిర్వహణ
Complain,complain,অভিযোগ,शिकायत करना,ದೂರು,ଅଭିଯୋଗ କରନ୍ତୁ,অভিযোগ কৰক,ફરિયાદ કરવી,तक्रार,പരാതിപ്പെടുക,ਸ਼ਿਕਾਇਤ,புகார்,ఫిర్యాదు
AccountManager ,Account manager ,একাউন্ট ম্যানেজার,खाता प्रबंधक,ಖಾತೆ ವ್ಯವಸ್ಥಾಪಕ,ଖାତା ପରିଚାଳକ,একাউন্ট ব্যৱস্থাপক,ખાતા નિયામક,खाते व्यवस्थापक,അക്കൗണ്ട് മാനേജർ,ਅਕਾਊਂਟ ਸੰਚਾਲਕ,கணக்கு மேலாளர்,ఖాతా మేనేజర్
,,,,,,,,,,,,
Refer&earn,Refer & earn,পড়ুন এবং উপার্জন করুন,देखें और अर्जित करना,ಉಲ್ಲೇಖಿಸಿ ಮತ್ತು ಗಳಿಸಿ,ରେଫର୍ ଏବଂ ରୋଜଗାର କର |,চাওক আৰু উপাৰ্জন কৰক,સંદર્ભ લો અને કમાણી,संदर्भ घ्या आणि कमवा,റഫർ ചെയ്യുക & നേടുക,ਵੇਖੋ ਅਤੇ ਕਮਾਈ ਕਰੋ,பரிந்துரைக்கவும் மற்றும் சம்பாதிக்கவும்,చూడండి & సంపాదించండి
GSTIN,GSTIN,গাস্টিন,गस्टिन,Gstin,ଜିଏସିନ୍ |,জিএছটিআইএন,જાડું,GSTIN,ജിസ്റ്റിൻ,Gstin,Gstin,Gstin
ActivePlan,Active Plan,সক্রিয় পরিকল্পনা,सक्रिय योजना,ಸಕ್ರಿಯ ಯೋಜನೆ,ସକ୍ରିୟ ଯୋଜନା,সক্ৰিয় পৰিকল্পনা,સક્રિય યોજના,सक्रिय योजना,സജീവ പദ്ധതി,ਐਕਟਿਵ ਪਲਾਨ,செயலில் திட்டம்,క్రియాశీల ప్రణాళిక
Expiresin20days ,Expires in 20 days ,20 দিনের মধ্যে শেষ হয়,20 दिनों में समाप्त हो रहा है,20 ದಿನಗಳಲ್ಲಿ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತದೆ,20 ଦିନରେ ସମାପ୍ତ ହେବ |,20 দিনত ম্যাদ উকলিব,20 દિવસમાં સમાપ્ત થાય છે,20 दिवसात कालबाह्य होईल,20 ദിവസത്തിനുള്ളിൽ കാലഹരണപ്പെടും,20 ਦਿਨਾਂ ਵਿਚ ਖਤਮ ਹੋ ਜਾਂਦਾ ਹੈ,20 நாட்களில் காலாவதியாகிறது,20 రోజుల్లో ముగుస్తుంది
Invoice,Invoice,চালান,इनवॉइस,ಸರಕುಪಟ್ಟಿ,ଇନଭଏସ୍ |,ইনভইচ,ભરતિયું,पावती,വികയപതം,ਚਲਾਨ,விலைப்பட்டியல்,ఇన్వాయిస్
LastSubscriptionOn ,Last Subscription On ,শেষ সাবস্ক্রিপশন চালু,पर अंतिम सदस्यता,ಕೊನೆಯ ಚಂದಾದಾರಿಕೆ,ଶେଷରେ ସବସ୍କ୍ରିପସନ୍ |,অন্তিম সদস্যতা অন,પર છેલ્લું સબ્સ્ક્રિપ્શન,शेवटची सदस्यता,അവസാന സബ്സ്ക്രിപ്ഷൻ ഓണാണ്,'ਤੇ ਆਖਰੀ ਗਾਹਕੀ,கடைசி சந்தா,చివరి చందా
RenewPlan ,Renew Plan ,পুনর্নবীকরণ পরিকল্পনা,नवीनीकरण योजना,ಯೋಜನೆಯನ್ನು ನವೀಕರಿಸಿ,ନବୀକରଣ ଯୋଜନା,পৰিকল্পনা নৱীকৰণ কৰক,નવીકરણ યોજના,योजना नूतनीकरण करा,പ്ലാൻ പുതുക്കുക,ਨਵੀਨੀਕਰਣ,திட்டத்தை புதுப்பிக்கவும்,పునరుద్ధరణ ప్రణాళిక
ViewOtherPlans,View Other Plans,অন্যান্য পরিকল্পনা দেখুন,अन्य योजनाएं देखें,ಇತರ ಯೋಜನೆಗಳನ್ನು ವೀಕ್ಷಿಸಿ,ଅନ୍ୟ ଯୋଜନାଗୁଡିକ ଦେଖନ୍ତୁ |,অন্যান্য পৰিকল্পনা সমূহ চাওক,અન્ય યોજનાઓ જુઓ,इतर योजना पहा,മറ്റ് പദ്ധതികൾ കാണുക,ਹੋਰ ਯੋਜਨਾਵਾਂ ਵੇਖੋ,பிற திட்டங்களைக் காண்க,ఇతర ప్రణాళికలను చూడండి
Offer ,Offer ,অফার,प्रस्ताव,ಅರ್ಪಿಸು,ଅଫର୍,অফাৰ,અર્પણ કરવું,ऑफर,വാഗ്ദാനം,ਪੇਸ਼ਕਸ਼,சலுகை,ఆఫర్
EntryName ,Entry Name ,প্রবেশের নাম,प्रवेश नाम,ಪ್ರವೇಶದ ಹೆಸರು,ପ୍ରବେଶ ନାମ,প্ৰবিষ্টি নাম,પ્રવેશ નામ,प्रवेश नाव,എൻട്രി പേര്,ਇੰਦਰਾਜ਼ ਦਾ ਨਾਮ,நுழைவு பெயர்,ఎంట్రీ పేరు
GSTINNumber ,GSTIN Number ,জিএসটিন নম্বর,Gstin नंबर,Gstin ಸಂಖ್ಯೆ,Gstin ସଂଖ୍ୟା,জিএচটিআইএন নম্বৰ,Gાળ,GSTIN  क्रमांक,ജിസ്റ്റിൻ നമ്പർ,Gstin ਨੰਬਰ,GSTIN எண்,GSTIN సంఖ్య
BasicSubscription ,Basic Subscription ,বেসিক সাবস্ক্রিপশন,मूल सदस्यता,ಮೂಲ ಚಂದಾದಾರಿಕೆ,ମ Basicେଣ୍ଟ ସଦସ୍ୟତା,মৌলিক সদস্যতা,મૂળભૂત લવાજમ,मूलभूत सदस्यता,അടിസ്ഥാന സബ്സ്ക്രിപ്ഷൻ,ਮੁ Sc ਲੀ ਗਾਹਕੀ,அடிப்படை சந்தா,ప్రాథమిక చందా
GST,GST,জিএসটি,जीएसटी,ಜಿಎಸ್ಟಿ,Gst,জিএছটি,જી.એસ.ટી.,जीएसटी,ജിഎസ്ടി,ਜੀਐਸਟੀ,GST,Gst
TotalAmount ,Total Amount ,সর্বমোট পরিমাণ,कुल राशि,ಒಟ್ಟು ಮೊತ್ತ,ମୋଟ ରାଶି,মুঠ পৰিমাণ,કુલ રકમ,एकूण रक्कम,മൊത്തം തുക,ਕੁੱਲ ਮਾਤਰਾ,மொத்த தொகை,మొత్తం మొత్తం
AddProduct ,Add Product ,পণ্য যুক্ত করুন,उत्पाद जोड़ें,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,ଉତ୍ପାଦ ଯୋଡନ୍ତୁ |,সামগ্ৰী যোগ কৰক,ઉત્પાદન ઉમેરો,उत्पादन जोडा,ഉൽപ്പന്നം ചേർക്കുക,ਉਤਪਾਦ ਸ਼ਾਮਲ ਕਰੋ,தயாரிப்பு சேர்க்கவும்,ఉత్పత్తిని జోడించండి
UpdateProduct,Update Product,পণ্য আপডেট করুন,अद्यतन उत्पाद,ಉತ್ಪನ್ನವನ್ನು ನವೀಕರಿಸಿ,ଉତ୍ପାଦ ଅଦ୍ୟତନ କରନ୍ତୁ |,সামগ্ৰী আপডেট কৰক,અપડેટ,उत्पादन अपडेट करा,ഉൽപ്പന്നം അപ്ഡേറ്റുചെയ്യുക,ਉਤਪਾਦ ਨੂੰ ਅਪਡੇਟ ਕਰੋ,தயாரிப்பு புதுப்பிக்கவும்,ఉత్పత్తిని నవీకరించండి
RecommendedProduct ,Recommended Product ,প্রস্তাবিত পণ্য,अनुशंसित उत्पाद,ಶಿಫಾರಸು ಮಾಡಿದ ಉತ್ಪನ್ನ,ସୁପାରିଶ କରାଯାଇଥିବା ଉତ୍ପାଦ |,অনুমোদিত সামগ্ৰী,ભલામણ કરેલ ઉત્પાદન,शिफारस केलेले उत्पादन,ശുപാർശ ചെയ്യുന്ന ഉൽപ്പന്നം,ਸਿਫਾਰਸ਼ ਕੀਤੀ ਉਤਪਾਦ,பரிந்துரைக்கப்பட்ட தயாரிப்பு,సిఫార్సు చేసిన ఉత్పత్తి
My catalog ,My catalog ,আমার ক্যাটালগ,मेरी सूची,ನನ್ನ ಕ್ಯಾಟಲಾಗ್,ମୋର କାଟାଲଗ୍ |,মোৰ তালিকা,મારી સૂચિ,माझे कॅटलॉग,എന്റെ കാറ്റലോഗ്,ਮੇਰੀ ਕੈਟਾਲਾਗ,எனது பட்டியல்,నా కేటలాగ్
Select Products ,Select Products ,পণ্য নির্বাচন করুন,उत्पादों का चयन करें,ಉತ್ಪನ್ನಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ,ଉତ୍ପାଦଗୁଡିକ ଚୟନ କରନ୍ତୁ |,সামগ্ৰী সমূহ বাছনি কৰক,ઉત્પાદનો પસંદ કરો,उत्पादन निवडा,ഉൽപ്പന്നങ്ങൾ തിരഞ്ഞെടുക്കുക,ਉਤਪਾਦ ਚੁਣੋ,தயாரிப்புகளைத் தேர்ந்தெடுக்கவும்,ఉత్పత్తులను ఎంచుకోండి
Select all,Select all,সমস্ত নির্বাচন করুন,सभी का चयन करे,ಎಲ್ಲವನ್ನು ಆರಿಸು,ସବୁ ବାଛ,সকলো বাছক,બધા પસંદ કરો,सर्व निवडा,എല്ലാം തിരഞ്ഞെടുക്കുക,ਸਾਰਿਆ ਨੂੰ ਚੁਣੋ,அனைத்தையும் தெரிவுசெய்,అన్ని ఎంచుకోండి
Unpublished ,Unpublished ,অপ্রকাশিত,अप्रकाशित,ಅಪ್ರಕಟಿತ,ଖୋଲାଯାଇଥିବା,অপ্ৰকাশিত,અપ્રગટ,अप्रकाशित,പ്രസിദ്ധീകരിച്ചിട്ടില്ല,ਅਣਪ੍ਰਕਾਸ਼ਿਤ,வெளியிடப்படாதது,ప్రచురించబడలేదు
Pre Order ,Pre Order ,পূর্বাদেশ,पूर्व आदेश,ಮುಂಚಿನ ಕ್ರಮ,ପୂର୍ବ ଆଦେଶ,পূৰ্ব ক্ৰম,પૂર્વવ્યાપી,पूर्व ऑर्डर,പ്രി ഓർഡർ,ਪੂਰਵ ਆਦੇਸ਼,முன்பதிவு,ముందస్తు ఉత్తర్వులు
SellingPrice ,Selling Price ,বিক্রয় মূল্য,विक्रय मूल्य,ಮಾರಾಟ ಬೆಲೆ,ମୂଲ୍ୟ ବିକ୍ରୟ |,বিক্ৰী মূল্য,વેચાણ કિંમત,विक्री किंमत,വില വിൽക്കുന്നു,ਵੇਚਣ ਦੀ ਕੀਮਤ,விற்பனை விலை,అమ్మకం ధర
